Name,Price,Location,Year,Condition,Km,Origin,Style,Manufacture,Color,Seat,Window
Hyundai SantaFe Cao cấp 2.4L HTRAC - 2021,928,Hà Nội,2021.0,Xe đã dùng,33000.0,Lắp ráp trong nước,SUV,Xăng,Đỏ,7.0,5.0
Mercedes Benz GLK Class GLK250 4Matic - 2015,595,TP HCM,2015.0,Xe đã dùng,100000.0,Lắp ráp trong nước,SUV,Xăng,Bạc,5.0,5.0
Volkswagen Tiguan Allspace Luxury - 2019,965,Hà Nội,2019.0,Xe đã dùng,45000.0,Nhập khẩu,SUV,Xăng,Đỏ,7.0,5.0
Ford Ranger Wildtrak 3.2L 4x4 AT - 2017,543,Hà Nội,2017.0,Xe đã dùng,81000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Cam,5.0,4.0
Toyota Land Cruiser VX 4.6 V8 - 2015,2880,Hà Nội,2015.0,Xe đã dùng,150629.0,Nhập khẩu,SUV,Xăng,Đen,8.0,5.0
Ford Ranger XLS 2.0L 4x2 AT - 2023,675,TP HCM,2023.0,Xe đã dùng,26000.0,Lắp ráp trong nước,Bán tải / Pickup,Dầu,Ghi,5.0,4.0
Lexus RX 350 - 2019,2870,Hà Nội,2019.0,Xe đã dùng,80000.0,Nhập khẩu,SUV,Xăng,Vàng,5.0,5.0
Mazda 3 1.5L Deluxe - 2022,565,Hà Nội,2022.0,Xe đã dùng,28000.0,Lắp ráp trong nước,Sedan,Xăng,Xanh,5.0,4.0
Mercedes Benz GLC 300 4Matic - 2022,2089,Hà Nội,2022.0,Xe đã dùng,38000.0,Lắp ráp trong nước,SUV,Xăng,Đỏ,5.0,5.0
Hyundai Accent 1.4 AT - 2016,355,Hà Nội,2016.0,Xe đã dùng,98000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Toyota Yaris 1.5G - 2020,525,Hà Nội,2020.0,Xe đã dùng,28000.0,Nhập khẩu,Hatchback,Xăng,Đỏ,5.0,5.0
Toyota Innova 2.0E - 2019,485,TP HCM,2019.0,Xe đã dùng,63000.0,Lắp ráp trong nước,Crossover,Xăng,Xanh,8.0,5.0
Kia Sorento Signature 2.2 AT AWD - 2022,1035,TP HCM,2022.0,Xe đã dùng,46000.0,Lắp ráp trong nước,SUV,Dầu,Trắng,6.0,5.0
Ford Ranger Raptor 2.0L 4x4 AT - 2023,1245,TP HCM,2023.0,Xe đã dùng,15000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Cam,5.0,4.0
Hyundai SantaFe Cao cấp 2.2L HTRAC - 2021,975,Hà Nội,2021.0,Xe đã dùng,46000.0,Lắp ráp trong nước,SUV,Dầu,Xanh,7.0,5.0
Hyundai Accent 1.4 AT Đặc Biệt - 2021,470,Hà Nội,2021.0,Xe đã dùng,61000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Lexus GX 470 - 2008,825,Hà Nội,2008.0,Xe đã dùng,152000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Honda CRV LSE - 2021,919,Hà Nội,2021.0,Xe đã dùng,27000.0,Lắp ráp trong nước,SUV,Xăng,Đen,7.0,5.0
Nissan Terra V 2.5 AT 4WD - 2019,698,Hà Nội,2019.0,Xe đã dùng,0.0,Nhập khẩu,SUV,Xăng,Vàng,7.0,5.0
Mercedes Benz C class C300 AMG - 2017,1030,Hà Nội,2017.0,Xe đã dùng,4600.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Toyota Innova 2.0E - 2018,520,TP HCM,2018.0,Xe đã dùng,75767.0,Lắp ráp trong nước,Crossover,Xăng,Bạc,8.0,5.0
Honda Accord 1.5 AT - 2019,855,TP HCM,2019.0,Xe đã dùng,57000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Toyota Camry 2.5Q - 2016,655,Hà Nội,2016.0,Xe đã dùng,93000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Mercedes Benz GLS 450 4Matic - 2022,4600,Hà Nội,2022.0,Xe đã dùng,18000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Kia Cerato 1.6 AT - 2010,269,Hà Nội,2010.0,Xe đã dùng,160000.0,Nhập khẩu,Sedan,Xăng,Xám,5.0,4.0
Hyundai Elantra Sport 1.6 AT - 2021,585,Hà Nội,2021.0,Xe đã dùng,56000.0,Lắp ráp trong nước,Sedan,Xăng,Đỏ,5.0,4.0
Toyota Vios 1.5G - 2020,465,Hà Nội,2020.0,Xe đã dùng,59000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Nissan Almera VL 1.0 CVT Cao cấp - 2021,445,Hà Nội,2021.0,Xe đã dùng,25000.0,Nhập khẩu,Sedan,Xăng,Xám,5.0,4.0
Mazda 6 Premium 2.0 AT - 2022,775,Hà Nội,2022.0,Xe đã dùng,30000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Toyota Camry 2.5Q - 2017,745,Hà Nội,2017.0,Xe đã dùng,80000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Jaguar XJ series XJL 3.0 - 2015,1965,Hà Nội,2015.0,Xe đã dùng,50000.0,Nhập khẩu,Sedan,Xăng,Xanh,5.0,4.0
BMW 4 Series 420i Convertible - 2016,1339,TP HCM,2016.0,Xe đã dùng,30000.0,Nhập khẩu,Convertible/Cabriolet,Xăng,Trắng,4.0,2.0
Mercedes Benz GLC 300 4Matic - 2023,2770,Hà Nội,2023.0,Xe đã dùng,8000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
VinFast Lux A 2.0 Tiêu chuẩn - 2022,625,Hà Nội,2022.0,Xe đã dùng,26000.0,Lắp ráp trong nước,Sedan,Xăng,-,5.0,4.0
Toyota Land Cruiser VX 4.6 V8 - 2018,3760,Hà Nội,2018.0,Xe đã dùng,45000.0,Nhập khẩu,SUV,Xăng,Đen,8.0,5.0
Jeep Wrangler Rubicon 2.0 4x4 AT - 2022,3200,TP HCM,2022.0,Xe đã dùng,20000.0,Nhập khẩu,SUV,Xăng,Đen,5.0,5.0
VinFast Lux A 2.0 Tiêu chuẩn - 2022,605,Hà Nội,2022.0,Xe đã dùng,20000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Toyota Vios 1.5E MT - 2019,368,Hà Nội,2019.0,Xe đã dùng,54000.0,Lắp ráp trong nước,Sedan,Xăng,Nâu,5.0,4.0
Toyota Yaris 1.3G - 2014,365,Hà Nội,2014.0,Xe đã dùng,136000.0,Nhập khẩu,Hatchback,Xăng,Đỏ,5.0,5.0
Mercedes Benz GLC 250 4Matic - 2016,880,Hà Nội,2016.0,Xe đã dùng,120000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Ford Everest Titanium 2.2L 4x2 AT - 2016,745,Hà Nội,2016.0,Xe đã dùng,119000.0,Nhập khẩu,SUV,Dầu,Trắng,7.0,5.0
Hyundai Creta Cao cấp 1.5 AT - 2022,675,Hà Nội,2022.0,Xe đã dùng,37000.0,Nhập khẩu,Crossover,Xăng,Xanh,5.0,5.0
Mitsubishi Outlander 2.4 CVT Premium - 2019,695,Hà Nội,2019.0,Xe đã dùng,70000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Mercedes Benz GLC 200 - 2022,1590,Hà Nội,2022.0,Xe đã dùng,8000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Ford Focus Titanium 2.0 AT - 2014,369,Hà Nội,2014.0,Xe đã dùng,120000.0,Lắp ráp trong nước,Sedan,Xăng,Đỏ,5.0,4.0
Lexus RX 300 F Sport - 2021,3080,TP HCM,2021.0,Xe đã dùng,30000.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
VinFast Lux A 2.0 Tiêu chuẩn - 2022,635,Hà Nội,2022.0,Xe đã dùng,18000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Daihatsu Charade 1.0 AT - 2006,150,Hà Nội,2006.0,Xe đã dùng,0.0,Nhập khẩu,Hatchback,Xăng,Xanh,5.0,5.0
Toyota Camry 2.5Q - 2016,680,Hà Nội,2016.0,Xe đã dùng,11000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Toyota Innova 2.0G - 2018,579,Hà Nội,2018.0,Xe đã dùng,61000.0,Lắp ráp trong nước,Crossover,Xăng,Trắng,8.0,5.0
Hyundai SantaFe Cao cấp 2.2L HTRAC - 2022,1210,Hà Nội,2022.0,Xe đã dùng,30000.0,Lắp ráp trong nước,SUV,Dầu,Trắng,7.0,5.0
Peugeot 3008 AL - 2022,860,Hà Nội,2022.0,Xe đã dùng,40000.0,Lắp ráp trong nước,Crossover,Xăng,Trắng,5.0,5.0
Toyota Land Cruiser VX 4.6 V8 - 2018,3499,TP HCM,2018.0,Xe đã dùng,0.0,Nhập khẩu,SUV,Xăng,Đen,8.0,5.0
Mazda 3 1.5 AT - 2016,415,Hà Nội,2016.0,Xe đã dùng,50000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Ford Ranger XLS 2.2L 4x2 AT - 2017,469,Hà Nội,2017.0,Xe đã dùng,120000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Bạc,5.0,4.0
Kia Sorento DATH - 2017,630,Hà Nội,2017.0,Xe đã dùng,99000.0,Lắp ráp trong nước,SUV,Dầu,Đen,7.0,5.0
Mitsubishi Xpander 1.5 MT - 2023,535,Hà Nội,2023.0,Xe đã dùng,25000.0,Lắp ráp trong nước,SUV,Xăng,Đen,7.0,5.0
VinFast Lux SA 2.0 Premium 2.0 AT - 2021,865,Hà Nội,2021.0,Xe đã dùng,58000.0,Lắp ráp trong nước,SUV,Xăng,Đen,7.0,5.0
Ford Ranger XLS 2.2L 4x2 AT - 2016,450,Hà Nội,2016.0,Xe đã dùng,90000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Xanh,5.0,4.0
Toyota Fortuner 2.7V 4x4 AT - 2015,485,Hà Nội,2015.0,Xe đã dùng,0.0,Lắp ráp trong nước,SUV,Xăng,Bạc,7.0,5.0
Toyota Alphard Executive Lounge - 2018,2980,TP HCM,2018.0,Xe đã dùng,0.0,Nhập khẩu,Van/Minivan,Xăng,Đen,7.0,5.0
VinFast Lux A 2.0 2.0 AT - 2019,545,Hà Nội,2019.0,Xe đã dùng,42000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Mercedes Benz E class E200 Exclusive - 2021,1750,Hà Nội,2021.0,Xe đã dùng,45000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Ford Ranger Wildtrak 3.2L 4x4 AT - 2015,539,Hà Nội,2015.0,Xe đã dùng,66000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Cam,5.0,4.0
Toyota Corolla Cross 1.8V - 2021,748,Hà Nội,2021.0,Xe đã dùng,29000.0,Nhập khẩu,SUV,Xăng,Nâu,5.0,5.0
Toyota Fortuner 2.7V 4x4 AT - 2017,790,TP HCM,2017.0,Xe đã dùng,69000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Toyota Fortuner TRD Sportivo 4x2 AT - 2015,555,Hà Nội,2015.0,Xe đã dùng,82000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
LandRover Defender 110 SE P300 2.0 AT - 2022,4300,Hà Nội,2022.0,Xe đã dùng,50000.0,Nhập khẩu,SUV,Xăng,Nâu,7.0,5.0
Volvo S90 Inscription LWB B6 AWD - 2022,1779,Hà Nội,2022.0,Xe đã dùng,20000.0,Nhập khẩu,Sedan,Xăng,Xám,5.0,4.0
Volvo XC60 Inscription B6 AWD - 2022,2079,Hà Nội,2022.0,Xe đã dùng,12500.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
Volvo V60 Cross Country Ultimate B5 AWD - 2023,2450,Hà Nội,2023.0,Xe đã dùng,3000.0,Nhập khẩu,Wagon,Xăng,Trắng,5.0,5.0
Ford Mustang EcoBoost - 2015,1390,Hà Nội,2015.0,Xe đã dùng,36000.0,Nhập khẩu,Convertible/Cabriolet,Xăng,Đỏ,4.0,2.0
Volvo S90 LWB Ultimate B6 AWD - 2023,2050,Hà Nội,2023.0,Xe đã dùng,1800.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Toyota Fortuner 2.7V 4x2 AT TRD - 2019,835,Hà Nội,2019.0,Xe đã dùng,64000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Ferrari California T - 2014,7500,Hà Nội,2014.0,Xe đã dùng,16000.0,Nhập khẩu,Convertible/Cabriolet,Xăng,Xanh,4.0,2.0
Honda City RS 1.5 AT - 2022,515,TP HCM,2022.0,Xe đã dùng,50000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Kia Cerato 1.6 AT Luxury - 2021,545,Hà Nội,2021.0,Xe đã dùng,20000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Kia K3 Luxury 1.6 AT - 2022,589,Hà Nội,2022.0,Xe đã dùng,20000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Mazda 3 1.5L Luxury - 2019,490,Hà Nội,2019.0,Xe đã dùng,60000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Mazda CX5 2.0 Premium - 2020,785,Hà Nội,2020.0,Xe đã dùng,15000.0,Lắp ráp trong nước,SUV,Xăng,Xanh,5.0,5.0
Ford Everest Titanium 2.0L 4x4 AT - 2019,935,Hà Nội,2019.0,Xe đã dùng,60000.0,Nhập khẩu,SUV,Dầu,Trắng,7.0,5.0
Toyota Fortuner Legender 2.4L 4x2 AT - 2022,1120,Hà Nội,2022.0,Xe đã dùng,20000.0,Lắp ráp trong nước,SUV,Dầu,Đen,7.0,5.0
Nissan Navara EL Premium R - 2018,418,Hà Nội,2018.0,Xe đã dùng,66000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Bạc,5.0,4.0
Mercedes Benz GLC 300 4Matic - 2021,1829,Hà Nội,2021.0,Xe đã dùng,42000.0,Lắp ráp trong nước,SUV,Xăng,Đỏ,5.0,5.0
Toyota Camry 2.5Q - 2021,1030,Hà Nội,2021.0,Xe đã dùng,48000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Kia K5 Premium 2.0 AT - 2023,805,TP HCM,2023.0,Xe đã dùng,12000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Porsche Cayenne 3.6 V6 - 2014,1590,Hà Nội,2014.0,Xe đã dùng,70000.0,Nhập khẩu,SUV,Xăng,Đen,5.0,5.0
Suzuki Swift GL 1.2 AT - 2020,410,Hà Nội,2020.0,Xe đã dùng,34000.0,Nhập khẩu,Hatchback,Xăng,Đỏ,5.0,5.0
Hyundai Tucson 2.0 ATH - 2020,735,Hà Nội,2020.0,Xe đã dùng,70000.0,Lắp ráp trong nước,Crossover,Xăng,Đen,5.0,5.0
Toyota Corolla Cross 1.8HV - 2021,820,Hà Nội,2021.0,Xe đã dùng,45000.0,Nhập khẩu,SUV,Hybrid,Đen,5.0,5.0
Audi Q3 Sportback 35 TFSI - 2021,1425,Hà Nội,2021.0,Xe đã dùng,26686.0,Nhập khẩu,Crossover,Xăng,Trắng,5.0,5.0
Mercedes Benz C class C300 AMG - 2017,905,Hà Nội,2017.0,Xe đã dùng,69000.0,Lắp ráp trong nước,Sedan,Xăng,Xanh,5.0,4.0
Lexus ES 250 - 2019,1880,Hà Nội,2019.0,Xe đã dùng,24135.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Mercedes Benz C class C200 - 2016,645,Hà Nội,2016.0,Xe đã dùng,80000.0,Lắp ráp trong nước,Sedan,Xăng,Bạc,5.0,4.0
Toyota Prado VX 2.7L - 2017,1850,Hà Nội,2017.0,Xe đã dùng,97000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Hyundai SantaFe 2.4L 4WD - 2018,750,Hà Nội,2018.0,Xe đã dùng,76000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Ford Everest Titanium 2.0L 4x4 AT - 2019,950,TP HCM,2019.0,Xe đã dùng,31000.0,Nhập khẩu,SUV,Dầu,Đen,7.0,5.0
Kia Soluto 1.4 MT Deluxe - 2020,308,Hà Nội,2020.0,Xe đã dùng,68000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Ford Everest Titanium 2.2L 4x2 AT - 2017,750,Hà Nội,2017.0,Xe đã dùng,70000.0,Nhập khẩu,SUV,Dầu,Đen,7.0,5.0
Hyundai Accent 1.4 AT Đặc Biệt - 2020,435,Hà Nội,2020.0,Xe đã dùng,65000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Porsche Macan 2.0 - 2022,3450,TP HCM,2022.0,Xe đã dùng,17000.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
Mercedes Benz C class C200 Avantgarde Plus - 2022,1600,TP HCM,2022.0,Xe đã dùng,14.0,Lắp ráp trong nước,Sedan,Xăng,Xám,5.0,4.0
Hyundai Tucson 2.0 AT - 2020,690,Hà Nội,2020.0,Xe đã dùng,75000.0,Lắp ráp trong nước,Crossover,Xăng,Trắng,5.0,5.0
Hyundai Tucson 2.0 AT Đặc biệt - 2023,895,Hà Nội,2023.0,Xe đã dùng,4000.0,Lắp ráp trong nước,Crossover,Xăng,Đen,5.0,5.0
Mazda 3 1.5L Deluxe - 2023,605,Hà Nội,2023.0,Xe đã dùng,2000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Toyota Fortuner 2.7V 4x2 AT - 2017,735,Hà Nội,2017.0,Xe đã dùng,120000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
BMW Z4 sDrive20i - 2015,1320,Hà Nội,2015.0,Xe đã dùng,0.0,Nhập khẩu,Convertible/Cabriolet,Xăng,Trắng,2.0,2.0
Toyota Sienna XLE 3.5 - 2011,990,TP HCM,2011.0,Xe đã dùng,44000.0,Nhập khẩu,Van/Minivan,Xăng,Trắng,7.0,5.0
Kia Sedona 2.2 DAT Luxury - 2020,920,TP HCM,2020.0,Xe đã dùng,37000.0,Lắp ráp trong nước,Van/Minivan,Dầu,Đen,7.0,5.0
Mercedes Benz C class C300 AMG - 2021,1345,Hà Nội,2021.0,Xe đã dùng,40000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Lexus RX 200t - 2016,1880,Hà Nội,2016.0,Xe đã dùng,60000.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
BMW Z4 sDrive30i M Sport - 2021,2290,Hà Nội,2021.0,Xe đã dùng,28800.0,Nhập khẩu,Convertible/Cabriolet,Xăng,Đen,2.0,2.0
Honda Brio RS - 2021,399,Hà Nội,2021.0,Xe đã dùng,40000.0,Nhập khẩu,Hatchback,Xăng,Vàng,5.0,5.0
Mercedes Benz E class E200 Sport - 2019,1490,Hà Nội,2019.0,Xe đã dùng,11000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Honda City RS 1.5 AT - 2022,548,Hà Nội,2022.0,Xe đã dùng,43000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Ford Ranger XLT 2.0L 4x4 AT - 2023,780,TP HCM,2023.0,Xe đã dùng,0.0,Lắp ráp trong nước,Bán tải / Pickup,Dầu,Đen,5.0,4.0
Mercedes Benz E class E350 AMG - 2018,1600,Hà Nội,2018.0,Xe đã dùng,20000.0,Lắp ráp trong nước,Sedan,Hybrid,Đen,5.0,4.0
VinFast Lux A 2.0 Plus 2.0 AT - 2021,599,Hà Nội,2021.0,Xe đã dùng,42315.0,Lắp ráp trong nước,Sedan,Xăng,Cam,5.0,4.0
Chevrolet Cruze LTZ 1.8 AT - 2016,300,Hà Nội,2016.0,Xe đã dùng,85000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Ford Everest Titanium 2.0L 4x4 AT - 2019,899,Hà Nội,2019.0,Xe đã dùng,63000.0,Nhập khẩu,SUV,Dầu,Đỏ,7.0,5.0
Mercedes Benz C class C300 AMG - 2022,1979,Hà Nội,2022.0,Xe đã dùng,15000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Toyota Camry 2.5Q - 2021,965,TP HCM,2021.0,Xe đã dùng,41000.0,Nhập khẩu,Sedan,Xăng,Đen,5.0,4.0
Toyota Raize G 1.0 CVT - 2022,518,Hà Nội,2022.0,Xe đã dùng,23000.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
VinFast VF9 Plus - 2023,1230,Hà Nội,2023.0,Xe đã dùng,18000.0,Lắp ráp trong nước,SUV,Điện,Trắng,6.0,5.0
Mercedes Benz G class G63 AMG - 2014,4799,Hà Nội,2014.0,Xe đã dùng,70000.0,Nhập khẩu,SUV,Xăng,Nâu,5.0,5.0
Ford Ranger Limited 2.0L 4x4 AT - 2021,656,Hà Nội,2021.0,Xe đã dùng,0.0,Nhập khẩu,Bán tải / Pickup,Dầu,Bạc,5.0,4.0
Mazda 2 Luxury - 2021,449,Hà Nội,2021.0,Xe đã dùng,20000.0,Nhập khẩu,Sedan,Xăng,Đỏ,5.0,4.0
Suzuki Super Carry Van Blind Van - 2020,170,TP HCM,2020.0,Xe đã dùng,80000.0,Lắp ráp trong nước,Van/Minivan,Xăng,Trắng,2.0,5.0
Kia Soluto 1.4 AT Deluxe - 2020,365,Hà Nội,2020.0,Xe đã dùng,22512.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Suzuki Swift 1.4 AT - 2016,339,Hà Nội,2016.0,Xe đã dùng,75000.0,Lắp ráp trong nước,Hatchback,Xăng,Xanh,5.0,5.0
Mitsubishi Triton 4x2 AT Mivec Premium - 2020,578,Hà Nội,2020.0,Xe đã dùng,60000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Màu khác,5.0,4.0
Kia Carnival Signature 2.2D - 2022,1329,Hà Nội,2022.0,Xe đã dùng,27000.0,Lắp ráp trong nước,Van/Minivan,Dầu,Xám,7.0,5.0
Cadillac Escalade 6.2 V8 - 2015,2850,TP HCM,2015.0,Xe đã dùng,52000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Mercedes Benz GLC 200 4Matic - 2021,1630,Hà Nội,2021.0,Xe đã dùng,45000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Audi Q5 45 TFSI Quattro - 2021,2050,TP HCM,2021.0,Xe đã dùng,27000.0,Nhập khẩu,SUV,Xăng,Đen,5.0,5.0
Kia Seltos Luxury 1.4 AT - 2021,595,Hà Nội,2021.0,Xe đã dùng,40000.0,Lắp ráp trong nước,Crossover,Xăng,Trắng,5.0,5.0
Ford Ranger Wildtrak 2.0L 4x4 AT - 2022,846,TP HCM,2022.0,Xe đã dùng,51000.0,Lắp ráp trong nước,Bán tải / Pickup,Dầu,Trắng,5.0,4.0
Mercedes Benz Maybach S680 4Matic - 2022,14700,Hà Nội,2022.0,Xe đã dùng,5000.0,Nhập khẩu,Sedan,Xăng,Nhiều màu,4.0,4.0
Hyundai SantaFe Premium 2.4L HTRAC - 2020,885,Hà Nội,2020.0,Xe đã dùng,45000.0,Lắp ráp trong nước,SUV,Xăng,Đen,7.0,5.0
Toyota Vios 1.5G - 2019,438,Hà Nội,2019.0,Xe đã dùng,65000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Mercedes Benz GLC 300 4Matic - 2020,1799,Hà Nội,2020.0,Xe đã dùng,35000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Mazda CX5 2.5 AT 2WD - 2018,665,Hà Nội,2018.0,Xe đã dùng,66000.0,Lắp ráp trong nước,SUV,Xăng,Xanh,5.0,5.0
Hyundai Accent 1.4 AT - 2023,479,Hà Nội,2023.0,Xe đã dùng,18000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Toyota Vios 1.5G - 2016,385,Hà Nội,2016.0,Xe đã dùng,32000.0,Lắp ráp trong nước,Sedan,Xăng,Cát,5.0,4.0
Volkswagen Tiguan Allspace - 2022,1599,TP HCM,2022.0,Xe đã dùng,3500.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Toyota Fortuner TRD Sportivo 4x2 AT - 2015,495,Hà Nội,2015.0,Xe đã dùng,120000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Honda Brio RS - 2021,418,Hà Nội,2021.0,Xe đã dùng,12000.0,Nhập khẩu,Hatchback,Xăng,Trắng,5.0,5.0
Mercedes Benz GLE Class GLE 450 4Matic - 2020,2950,Hà Nội,2020.0,Xe đã dùng,50000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Mazda 2 1.5 AT - 2021,409,Hà Nội,2021.0,Xe đã dùng,20000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
VinFast VF8 Eco - 2023,830,Hà Nội,2023.0,Xe đã dùng,4700.0,Lắp ráp trong nước,SUV,Điện,Đen,5.0,5.0
Mazda CX5 2.0 AT - 2017,635,Hà Nội,2017.0,Xe đã dùng,60000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Kia Sonet Premium 1.5 AT - 2022,579,Hà Nội,2022.0,Xe đã dùng,1100.0,Lắp ráp trong nước,Crossover,Xăng,Đen,5.0,5.0
Hyundai Tucson 2.0 AT - 2019,639,Hà Nội,2019.0,Xe đã dùng,40000.0,Lắp ráp trong nước,Crossover,Xăng,Đen,5.0,5.0
Hyundai Accent 1.4 MT - 2022,420,Hà Nội,2022.0,Xe đã dùng,38000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Ford Ranger Raptor 2.0L 4x4 AT - 2022,1000,TP HCM,2022.0,Xe đã dùng,46000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Xám,5.0,4.0
Toyota Highlander LE 2.7 - 2015,1030,Hà Nội,2015.0,Xe đã dùng,60000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Toyota Fortuner 2.5G - 2016,590,Hà Nội,2016.0,Xe đã dùng,100000.0,Lắp ráp trong nước,SUV,Dầu,Đen,7.0,5.0
Toyota Corolla altis 1.8V - 2022,715,Hà Nội,2022.0,Xe đã dùng,6600.0,Nhập khẩu,Sedan,Xăng,Đen,5.0,4.0
Nissan X trail 2.5 SV 4WD Premium - 2018,648,TP HCM,2018.0,Xe đã dùng,44000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Toyota Corolla Cross 1.8V - 2021,769,Hà Nội,2021.0,Xe đã dùng,25000.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
Kia K5 Premium 2.0 AT - 2022,799,Hà Nội,2022.0,Xe đã dùng,30000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Toyota Avanza 1.3 MT - 2019,350,Hà Nội,2019.0,Xe đã dùng,80000.0,Nhập khẩu,Crossover,Xăng,Bạc,7.0,5.0
Nissan X trail V Series 2.5 SV Luxury 4WD - 2019,680,Hà Nội,2019.0,Xe đã dùng,60000.0,Lắp ráp trong nước,SUV,Xăng,Đen,7.0,5.0
Honda CRV L - 2019,800,Hà Nội,2019.0,Xe đã dùng,60000.0,Nhập khẩu,SUV,Xăng,Đỏ,7.0,5.0
Subaru Forester 2.0i-L - 2023,835,Hà Nội,2023.0,Xe đã dùng,10000.0,Nhập khẩu,SUV,Xăng,Xanh,5.0,5.0
